Date,Link,Message
2021-05-09 09:58:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6797014356904308736,Congrats ra BHUPATHI ASHRITH
2020-09-08 15:52:14,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6709118116246364160,Good Work Nikil Alakunta
2020-08-28 18:36:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6705044902968877056,Well explained Nikil Alakunta
2020-08-25 06:26:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6702805064521662464,Bootcamp

2020-08-15 12:51:23,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6699241669591613440,Interested
2020-08-15 10:53:03,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6699965916957941760,interested
nikhilmalkari@yahoo.com
2020-08-14 07:29:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6699870065849864192,#ScholarshipTrack

2020-06-07 16:10:43,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6674993776097837056,Interested data science and machine learning
2020-06-05 19:27:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6674275817440321536,Interested
2020-06-04 06:01:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6673783569934090240,Hi
2020-06-01 10:43:22,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6669102866608857088,SVSS Bhavik Kollipara
2020-05-25 15:28:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6670319231332159488,Interested
Data Science intern
nikhilmalkari@yahoo.com
2020-05-25 15:27:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6670319231332159488,SVSS Bhavik Kollipara 
Shree Hari B
2020-05-24 19:26:11,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6669843309114068992,interested
analyst
2020-05-24 19:14:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6670259249311997952,interested 
nikhilmalkari@yahoo.com

2020-05-20 09:16:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6668501623712612353,Interested
2020-05-20 07:27:01,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6667110204976574464,interested
nikhilmalkari@yahoo.com

2020-05-19 19:41:40,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6665293421386833920,nikhilmalkari@yahoo.com
2020-05-19 19:40:25,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6666718053042151425,Shree Hari B
2020-05-19 19:40:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6666718053042151425,SVSS Bhavik Kollipara
2020-05-19 10:46:55,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6668384109796184064,interested 
2020-05-18 15:03:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6667625713568497664,Interested
2020-05-18 14:59:52,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6668030996501401600,Interested
2020-05-18 05:15:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6667357476129775616,Interested
nikhilmalkari@yahoo.com
2020-05-17 18:44:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6667739910100918272,Interested 
nikhilmalkari@yahoo.com
2020-05-17 18:40:34,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6665890867582251009,Interested
2020-05-17 18:38:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6665560664976818176,Interested 
nikhilmalkari@yahoo.com
2020-05-17 18:36:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6667465232102895616,Interested
nikhilmalkari@yahoo.com
2020-05-15 04:24:06,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6666601549365694464,Interested
2020-05-12 14:10:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6665853310957957120,Add me
